"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"2","2","Atlantis Attacks","msh","Near Mint","English","","","2026-09-10 00:13:02.787000","46","False","False","0.08"
"1","1","Atlantis Attacks","msh","Near Mint","English","foil","","2026-09-10 00:13:02.787000","46","False","False","0.22"
"7","7","Attercop","hob","Near Mint","English","","","2026-09-10 00:13:02.787000","116","False","False","0.20"
"2","2","Attercop","hob","Near Mint","English","","","2026-09-10 00:13:02.787000","116","False","False","0.11"
"1","1","Attercop","hob","Near Mint","English","foil","","2026-09-10 00:13:02.787000","116","False","False","0.22"
"2","2","Attuma, Atlantean Warlord","msh","Near Mint","English","foil","","2026-09-10 00:13:02.787000","47","False","False","0.40"
"1","1","Attuma, Atlantean Warlord","msh","Near Mint","English","","","2026-09-10 00:13:02.787000","47","False","False","0.14"
"1","1","Aunt May","spm","Near Mint","English","","","2026-09-10 00:13:02.787000","3","False","False","0.24"
"1","1","Auntie Ool, Cursewretch","ecc","Near Mint","English","foil","","2026-09-10 00:13:02.787000","2","False","False","0.39"
"1","1","Auntie's Sentence","ecl","Near Mint","English","","","2026-09-10 00:13:02.787000","85","False","False","0.17"
"1","1","Auron's Inspiration","fin","Near Mint","English","","","2026-09-10 00:13:02.787000","8","False","False","0.11"
"1","1","Austere Command","fic","Near Mint","English","","","2026-09-10 00:13:02.787000","231","False","False","0.39"
"1","1","Austere Command","msc","Near Mint","English","","","2026-09-10 00:13:02.787000","121","False","False","0.78"
"1","1","Avalanche of Sector 7","fic","Near Mint","English","","","2026-09-10 00:13:02.787000","53","False","False","0.18"
"5","5","Avatar Enthusiasts","tla","Near Mint","English","","","2026-09-10 00:13:02.787000","11","False","False","0.14"
"1","1","Avatar's Wrath","tla","Near Mint","English","","","2026-09-10 00:13:02.787000","12","False","False","3.91"
"1","1","Avenge","msc","Near Mint","English","","","2026-09-10 00:13:02.787000","11","False","False","2.49"
"1","1","Avengers Assemble!","msh","Near Mint","English","","","2026-09-10 00:13:02.787000","6","False","False","0.49"
"1","1","Avengers Hangar","msh","Near Mint","English","","","2026-09-10 00:13:02.787000","259","False","False","0.11"
"1","1","Avengers Hangar","msh","Near Mint","English","foil","","2026-09-10 00:13:02.787000","259","False","False","0.25"
"1","1","Avengers Quinjet","msc","Near Mint","English","","","2026-09-10 00:13:02.787000","102","False","False","0.31"
"1","1","Avengers Quinjet","msc","Near Mint","English","","","2026-09-10 00:13:02.787000","102","False","False","1.90"
"1","1","Avengers Tower","msh","Near Mint","English","","","2026-09-10 00:13:02.787000","334","False","False","0.25"
"1","1","Avengers Tower","msh","Near Mint","English","","","2026-09-10 00:13:02.787000","260","False","False","0.15"
"1","1","Avengers Tower","msh","Near Mint","English","foil","","2026-09-10 00:13:02.787000","334","False","False","0.36"
"1","1","Avengers: Under Siege","msh","Near Mint","English","","","2026-09-10 00:13:02.787000","205","False","False","0.22"
"1","1","Aziza, Mage Tower Captain","sos","Near Mint","English","","","2026-09-10 00:13:02.787000","174","False","False","0.23"
"1","1","Azog, Moria's Ruin","hob","Near Mint","English","foil","","2026-09-10 00:13:02.787000","61","False","False","0.39"
"1","1","Azog, Moria's Ruin","hob","Near Mint","English","foil","","2026-09-10 00:13:02.787000","222","False","False","1.73"
"1","1","Azog, Moria's Ruin","hob","Near Mint","English","","","2026-09-10 00:13:02.787000","61","False","False","0.27"
"1","1","Azog, Moria's Ruin","hob","Near Mint","English","","","2026-09-10 00:13:02.787000","222","False","False","1.30"
